date,decision,prob,explanation,strategic_journal,feeling_log,position,next_return_1d,strategy_return,cumulative_return,position_duration,position_changed,previous_decision,previous_return
2015-04-29,SELL,0.61,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,-1.0128865367728943,1.0128865367728943,-3.1901307490284845,1,True,BUY,-0.3740377158637509
2015-04-30,BUY,0.82,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling confident in the analysis but aware of potential risks.,1.0,1.0922987662490111,1.0922987662490111,-2.097831982779473,1,True,SELL,1.0128865367728943
2015-05-01,BUY,0.55,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling cautiously optimistic about current market conditions.,1.0,0.2940771905193262,0.2940771905193262,-1.803754792260147,2,False,BUY,1.0922987662490111
2015-05-04,BUY,0.83,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling confident in the analysis but aware of potential risks.,1.0,-1.1837369767650707,-1.1837369767650707,-2.9874917690252176,3,False,BUY,0.2940771905193262
2015-05-05,BUY,0.83,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling confident in the analysis but aware of potential risks.,1.0,-0.4455696687182264,-0.4455696687182264,-3.433061437743444,4,False,BUY,-1.1837369767650707
2015-05-06,HOLD,0.4,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,0.3773766314929094,0.0,-3.433061437743444,1,True,BUY,-0.4455696687182264
2015-05-07,HOLD,0.77,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,1.345785440613012,0.0,-3.433061437743444,2,False,HOLD,0.0
2015-05-08,BUY,0.54,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling uncertain but maintaining discipline in decision-making.,1.0,-0.5089551533481451,-0.5089551533481451,-3.942016591091589,1,True,HOLD,0.0
2015-05-11,HOLD,0.76,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling confident in the analysis but aware of potential risks.,0.0,-0.2949656348410934,-0.0,-3.942016591091589,1,True,BUY,-0.5089551533481451
2015-05-12,SELL,0.78,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling confident in the analysis but aware of potential risks.,-1.0,-0.0304889668051311,0.0304889668051311,-3.911527624286458,1,True,HOLD,-0.0
2015-05-13,HOLD,0.72,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling confident in the analysis but aware of potential risks.,0.0,1.077923068125486,0.0,-3.911527624286458,1,True,SELL,0.0304889668051311
2015-05-14,HOLD,0.55,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,0.076846919051432,0.0,-3.911527624286458,2,False,HOLD,0.0
2015-05-15,BUY,0.56,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling cautiously optimistic about current market conditions.,1.0,0.3047961822747025,0.3047961822747025,-3.6067314420117556,1,True,HOLD,0.0
2015-05-18,BUY,0.87,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling uncertain but maintaining discipline in decision-making.,1.0,-0.0643434153672739,-0.0643434153672739,-3.6710748573790295,2,False,BUY,0.3047961822747025
2015-05-19,SELL,0.61,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,-0.0930525464910236,0.0930525464910236,-3.578022310888006,1,True,BUY,-0.0643434153672739
2015-05-20,BUY,0.52,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling cautiously optimistic about current market conditions.,1.0,0.2337888374062346,0.2337888374062346,-3.344233473481771,1,True,SELL,0.0930525464910236
2015-05-21,HOLD,0.6,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling confident in the analysis but aware of potential risks.,0.0,-0.2233881791986247,-0.0,-3.344233473481771,1,True,BUY,0.2337888374062346
2015-05-22,HOLD,0.66,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,-1.028192995494015,-0.0,-3.344233473481771,2,False,HOLD,-0.0
2015-05-26,SELL,0.45,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling cautiously optimistic about current market conditions.,-1.0,0.916262712669913,-0.916262712669913,-4.260496186151684,1,True,HOLD,-0.0
2015-05-27,BUY,0.47,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling confident in the analysis but aware of potential risks.,1.0,-0.1266788479288738,-0.1266788479288738,-4.387175034080558,1,True,SELL,-0.916262712669913
2015-05-28,SELL,0.56,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling cautiously optimistic about current market conditions.,-1.0,-0.6318400218786491,0.6318400218786491,-3.755335012201909,1,True,BUY,-0.1266788479288738
2015-05-29,SELL,0.82,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling cautiously optimistic about current market conditions.,-1.0,0.2059419471478918,-0.2059419471478918,-3.9612769593498007,2,False,SELL,0.6318400218786491
2015-06-01,HOLD,0.48,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling confident in the analysis but aware of potential risks.,0.0,-0.1008651674219818,-0.0,-3.9612769593498007,1,True,SELL,-0.2059419471478918
2015-06-02,BUY,0.44,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling uncertain but maintaining discipline in decision-making.,1.0,0.2118885096700884,0.2118885096700884,-3.7493884496797123,1,True,HOLD,-0.0
2015-06-03,BUY,0.85,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling cautiously optimistic about current market conditions.,1.0,-0.8623177094419732,-0.8623177094419732,-4.6117061591216855,2,False,BUY,0.2118885096700884
2015-06-04,HOLD,0.73,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,-0.1436178334224047,-0.0,-4.6117061591216855,1,True,BUY,-0.8623177094419732
2015-06-05,SELL,0.73,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling confident in the analysis but aware of potential risks.,-1.0,-0.647448669982742,0.647448669982742,-3.9642574891389435,1,True,HOLD,-0.0
2015-06-08,SELL,0.64,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,0.0418414066407635,-0.0418414066407635,-4.006098895779707,2,False,SELL,0.647448669982742
2015-06-09,SELL,0.63,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,1.2042400788404573,-1.2042400788404573,-5.210338974620164,3,False,SELL,-0.0418414066407635
2015-06-10,HOLD,0.49,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling confident in the analysis but aware of potential risks.,0.0,0.1738552156564932,0.0,-5.210338974620164,1,True,SELL,-1.2042400788404573
2015-06-11,HOLD,0.88,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling confident in the analysis but aware of potential risks.,0.0,-0.6994300238043261,-0.0,-5.210338974620164,2,False,HOLD,0.0
2015-06-12,BUY,0.9,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling confident in the analysis but aware of potential risks.,1.0,-0.4622488789987278,-0.4622488789987278,-5.672587853618892,1,True,HOLD,-0.0
2015-06-15,SELL,0.89,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,0.5689804886707783,-0.5689804886707783,-6.24156834228967,1,True,BUY,-0.4622488789987278
2015-06-16,SELL,0.82,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling confident in the analysis but aware of potential risks.,-1.0,0.1979687924857698,-0.1979687924857698,-6.43953713477544,2,False,SELL,-0.5689804886707783
2015-06-17,BUY,0.57,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling cautiously optimistic about current market conditions.,1.0,0.9902687056045244,0.9902687056045244,-5.449268429170916,1,True,SELL,-0.1979687924857698
2015-06-18,SELL,0.74,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling cautiously optimistic about current market conditions.,-1.0,-0.5303501725405946,0.5303501725405946,-4.918918256630321,1,True,BUY,0.9902687056045244
2015-06-19,SELL,0.45,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling confident in the analysis but aware of potential risks.,-1.0,0.6094815615239835,-0.6094815615239835,-5.528399818154305,2,False,SELL,0.5303501725405946
2015-06-22,HOLD,0.47,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,0.0635937536801911,0.0,-5.528399818154305,1,True,SELL,-0.6094815615239835
2015-06-23,HOLD,0.55,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,-0.7353356557762925,-0.0,-5.528399818154305,2,False,HOLD,0.0
2015-06-24,SELL,0.53,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,-0.2973565148109092,0.2973565148109092,-5.231043303343395,1,True,HOLD,-0.0
2015-06-25,SELL,0.84,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,-0.0390047138623783,0.0390047138623783,-5.192038589481017,2,False,SELL,0.2973565148109092
2015-06-26,SELL,0.55,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling cautiously optimistic about current market conditions.,-1.0,-2.0866147352592623,2.0866147352592623,-3.1054238542217547,3,False,SELL,0.0390047138623783
2015-06-29,BUY,0.48,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling cautiously optimistic about current market conditions.,1.0,0.2658385334655344,0.2658385334655344,-2.8395853207562203,1,True,SELL,2.0866147352592623
2015-06-30,HOLD,0.75,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling uncertain but maintaining discipline in decision-making.,0.0,0.693613040506813,0.0,-2.8395853207562203,1,True,BUY,0.2658385334655344
2015-07-01,HOLD,0.46,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,-0.0308074438486127,-0.0,-2.8395853207562203,2,False,HOLD,0.0
2015-07-02,HOLD,0.49,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling uncertain but maintaining discipline in decision-making.,0.0,-0.3861747512976854,-0.0,-2.8395853207562203,3,False,HOLD,-0.0
2015-07-06,SELL,0.58,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,0.6080937373112327,-0.6080937373112327,-3.447679058067453,1,True,HOLD,-0.0
2015-07-07,SELL,0.73,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling confident in the analysis but aware of potential risks.,-1.0,-1.6652733335255188,1.6652733335255188,-1.7824057245419342,2,False,SELL,-0.6080937373112327
2015-07-08,BUY,0.59,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling cautiously optimistic about current market conditions.,1.0,0.2262200246252454,0.2262200246252454,-1.5561856999166888,1,True,SELL,1.6652733335255188
2015-07-09,HOLD,0.89,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,1.2338456888524971,0.0,-1.5561856999166888,1,True,BUY,0.2262200246252454
2015-07-10,HOLD,0.71,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling uncertain but maintaining discipline in decision-making.,0.0,1.106605926938964,0.0,-1.5561856999166888,2,False,HOLD,0.0
2015-07-13,SELL,0.67,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling cautiously optimistic about current market conditions.,-1.0,0.4453229186511587,-0.4453229186511587,-2.0015086185678475,1,True,HOLD,0.0
2015-07-14,HOLD,0.88,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling uncertain but maintaining discipline in decision-making.,0.0,-0.0734962896227875,-0.0,-2.0015086185678475,1,True,SELL,-0.4453229186511587
2015-07-15,BUY,0.43,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling uncertain but maintaining discipline in decision-making.,1.0,0.8014615165606864,0.8014615165606864,-1.200047102007161,1,True,HOLD,-0.0
2015-07-16,HOLD,0.69,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,0.1106251971246807,0.0,-1.200047102007161,1,True,BUY,0.8014615165606864
2015-07-17,HOLD,0.67,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling confident in the analysis but aware of potential risks.,0.0,0.0771169544445893,0.0,-1.200047102007161,2,False,HOLD,0.0
2015-07-20,BUY,0.87,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling uncertain but maintaining discipline in decision-making.,1.0,-0.4261657300731136,-0.4261657300731136,-1.6262128320802747,1,True,HOLD,0.0
2015-07-21,HOLD,0.81,Market conditions are uncertain. Waiting for clearer signals before taking a position.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests hold positioning.,Feeling cautiously optimistic about current market conditions.,0.0,-0.2387682202330099,-0.0,-1.6262128320802747,1,True,BUY,-0.4261657300731136
2015-07-22,SELL,0.9,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling confident in the analysis but aware of potential risks.,-1.0,-0.5676040016082129,0.5676040016082129,-1.0586088304720618,1,True,HOLD,-0.0
2015-07-23,SELL,0.8,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling uncertain but maintaining discipline in decision-making.,-1.0,-1.07033275456081,1.07033275456081,0.011723924088748117,2,False,SELL,0.5676040016082129
2015-07-24,BUY,0.7,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling confident in the analysis but aware of potential risks.,1.0,-0.577501021806559,-0.577501021806559,-0.5657770977178109,1,True,SELL,1.07033275456081
2015-07-27,SELL,0.45,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling cautiously optimistic about current market conditions.,-1.0,1.2386102029366963,-1.2386102029366963,-1.8043873006545073,1,True,BUY,-0.577501021806559
2015-07-28,BUY,0.68,Market indicators suggest upward momentum. Technical analysis shows bullish patterns.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests buy positioning.,Feeling cautiously optimistic about current market conditions.,1.0,0.7318762689597635,0.7318762689597635,-1.0725110316947437,1,True,SELL,-1.2386102029366963
2015-07-29,SELL,0.75,Risk indicators are elevated. Taking a defensive position to protect capital.,Reviewing recent performance and adjusting strategy accordingly. Current market regime suggests sell positioning.,Feeling cautiously optimistic about current market conditions.,-1.0,0.0028455303831442,-0.0028455303831442,-1.075356562077888,1,True,BUY,0.7318762689597635
